DATA_VENDA;COD_VENDA;COD_PRODUTO;COD_VENDEDOR;CIDADE_LOJA
01/01/2022;100001;6;500001;São Paulo
01/01/2022;100002;1;500002;Curitiba
01/01/2022;100003;9;500013;São Paulo
01/01/2022;100004;2;500003;São Paulo
01/01/2022;100005;1;500015;Porto Alegre
01/01/2022;100006;10;500003;São Paulo
01/01/2022;100007;10;500013;São Paulo
01/01/2022;100008;3;500006;Rio de Janeiro
01/01/2022;100009;9;500006;Porto Alegre
01/01/2022;100010;7;500011;Rio de Janeiro
01/01/2022;100011;7;500008;Curitiba
01/01/2022;100012;10;500001;Rio de Janeiro
01/01/2022;100013;1;500002;Curitiba
01/01/2022;100014;2;500008;Rio de Janeiro
01/01/2022;100015;2;500004;Curitiba
01/01/2022;100016;9;500004;Curitiba
01/01/2022;100017;5;500012;Curitiba
01/01/2022;100018;7;500010;Porto Alegre
01/01/2022;100019;2;500007;Curitiba
01/01/2022;100020;7;500014;Rio de Janeiro
01/01/2022;100021;9;500002;São Paulo
01/01/2022;100022;4;500007;Curitiba
01/01/2022;100023;4;500006;Porto Alegre
01/01/2022;100024;4;500015;São Paulo
01/01/2022;100025;5;500015;Curitiba
01/01/2022;100026;2;500008;Curitiba
01/01/2022;100027;1;500010;Curitiba
01/01/2022;100028;10;500003;São Paulo
01/01/2022;100029;6;500015;São Paulo
01/01/2022;100030;8;500007;Curitiba
01/01/2022;100031;7;500004;Rio de Janeiro
01/01/2022;100032;6;500008;São Paulo
01/01/2022;100033;8;500002;Curitiba
01/01/2022;100034;5;500007;Curitiba
01/01/2022;100035;4;500013;Rio de Janeiro
01/01/2022;100036;10;500004;São Paulo
01/01/2022;100037;10;500003;Rio de Janeiro
01/01/2022;100038;6;500007;São Paulo
01/01/2022;100039;7;500013;Rio de Janeiro
01/01/2022;100040;10;500015;Rio de Janeiro
01/01/2022;100041;5;500011;São Paulo
01/01/2022;100042;5;500011;Porto Alegre
01/01/2022;100043;10;500011;Rio de Janeiro
01/01/2022;100044;4;500006;São Paulo
01/01/2022;100045;3;500011;Rio de Janeiro
01/01/2022;100046;5;500014;Curitiba
01/01/2022;100047;10;500012;Curitiba
01/01/2022;100048;10;500009;São Paulo
01/01/2022;100049;1;500002;Rio de Janeiro
01/01/2022;100050;1;500014;Curitiba
01/01/2022;100051;1;500005;Curitiba
01/01/2022;100052;8;500004;Porto Alegre
01/01/2022;100053;9;500002;São Paulo
01/01/2022;100054;4;500005;Curitiba
01/01/2022;100055;8;500008;São Paulo
01/01/2022;100056;2;500002;São Paulo
01/01/2022;100057;8;500013;Porto Alegre
01/01/2022;100058;1;500001;São Paulo
01/01/2022;100059;9;500009;Porto Alegre
01/01/2022;100060;3;500002;Curitiba
01/01/2022;100061;1;500015;Rio de Janeiro
01/01/2022;100062;2;500002;Rio de Janeiro
01/01/2022;100063;1;500014;São Paulo
01/01/2022;100064;4;500009;Rio de Janeiro
01/01/2022;100065;8;500004;Rio de Janeiro
01/01/2022;100066;3;500015;Curitiba
01/01/2022;100067;3;500011;Porto Alegre
01/01/2022;100068;7;500002;São Paulo
01/01/2022;100069;2;500005;Rio de Janeiro
01/01/2022;100070;2;500004;Curitiba
01/01/2022;100071;1;500005;São Paulo
01/01/2022;100072;4;500002;São Paulo
01/01/2022;100073;4;500012;São Paulo
01/01/2022;100074;9;500008;Curitiba
01/01/2022;100075;10;500005;Curitiba
01/01/2022;100076;6;500010;Porto Alegre
01/01/2022;100077;4;500010;São Paulo
01/01/2022;100078;7;500003;Curitiba
01/01/2022;100079;10;500012;Rio de Janeiro
01/01/2022;100080;7;500015;São Paulo
01/01/2022;100081;4;500005;São Paulo
01/01/2022;100082;8;500012;Rio de Janeiro
01/01/2022;100083;6;500008;Curitiba
01/01/2022;100084;9;500013;São Paulo
01/01/2022;100085;7;500009;Porto Alegre
01/01/2022;100086;9;500015;São Paulo
01/01/2022;100087;6;500002;Curitiba
01/01/2022;100088;1;500002;Curitiba
01/01/2022;100089;1;500003;Porto Alegre
01/01/2022;100090;9;500003;São Paulo
01/01/2022;100091;2;500007;Rio de Janeiro
01/01/2022;100092;8;500011;São Paulo
01/01/2022;100093;9;500004;São Paulo
01/01/2022;100094;4;500009;São Paulo
01/01/2022;100095;2;500002;Curitiba
01/01/2022;100096;4;500001;Curitiba
01/01/2022;100097;8;500006;Rio de Janeiro
01/01/2022;100098;9;500005;Rio de Janeiro
01/01/2022;100099;6;500014;Rio de Janeiro
01/01/2022;100100;2;500009;Rio de Janeiro
01/01/2022;100101;7;500012;Curitiba
01/01/2022;100102;4;500002;São Paulo
01/01/2022;100103;4;500014;Curitiba
01/01/2022;100104;7;500010;Curitiba
01/01/2022;100105;9;500003;Curitiba
01/01/2022;100106;5;500015;Rio de Janeiro
01/01/2022;100107;7;500005;Porto Alegre
01/01/2022;100108;10;500002;Rio de Janeiro
01/01/2022;100109;4;500012;Curitiba
01/01/2022;100110;7;500008;Rio de Janeiro
01/01/2022;100111;9;500012;Porto Alegre
01/01/2022;100112;2;500014;Porto Alegre
01/01/2022;100113;10;500011;Porto Alegre
01/01/2022;100114;10;500008;Porto Alegre
01/01/2022;100115;7;500007;Curitiba
01/01/2022;100116;9;500014;Rio de Janeiro
