DATA_VENDA;COD_VENDA;COD_PRODUTO;COD_VENDEDOR
01/01/2022;AF0001;6;l1
01/01/2022;AF0002;1;l1
01/01/2022;AF0003;9;l5
01/01/2022;AF0004;2;l1
01/01/2022;AF0005;1;l5
01/01/2022;AF0006;2;l1
01/01/2022;AF0007;2;l5
01/01/2022;AF0008;3;l2
01/01/2022;AF0009;9;l2
01/01/2022;AF0010;7;l4
01/01/2022;AF0011;7;l3
01/01/2022;AF0012;2;l1
01/01/2022;AF0013;1;l1
01/01/2022;AF0014;2;l3
01/01/2022;AF0015;2;l2
01/01/2022;AF0016;9;l2
01/01/2022;AF0017;5;l4
01/01/2022;AF0018;7;l4
01/01/2022;AF0019;2;l3
01/01/2022;AF0020;7;l5
01/01/2022;AF0021;9;l1
01/01/2022;AF0022;4;l3
01/01/2022;AF0023;4;l2
01/01/2022;AF0024;4;l5
01/01/2022;AF0025;5;l5
01/01/2022;AF0026;2;l3
01/01/2022;AF0027;1;l4
01/01/2022;AF0028;2;l1
01/01/2022;AF0029;6;l5
01/01/2022;AF0030;3;l3
01/01/2022;AF0031;7;l2
01/01/2022;AF0032;6;l3
01/01/2022;AF0033;3;l1
01/01/2022;AF0034;5;l3
01/01/2022;AF0035;4;l5
01/01/2022;AF0036;2;l2
01/01/2022;AF0037;2;l1
01/01/2022;AF0038;6;l3
01/01/2022;AF0039;7;l5
01/01/2022;AF0040;2;l5
01/01/2022;AF0041;5;l4
01/01/2022;AF0042;5;l4
01/01/2022;AF0043;2;l4
01/01/2022;AF0044;4;l2
01/01/2022;AF0045;3;l4
01/01/2022;AF0046;5;l5
01/01/2022;AF0047;2;l4
01/01/2022;AF0048;2;l3
01/01/2022;AF0049;1;l1
01/01/2022;AF0050;1;l5
01/01/2022;AF0051;1;l2
01/01/2022;AF0052;3;l2
01/01/2022;AF0053;9;l1
01/01/2022;AF0054;4;l2
01/01/2022;AF0055;3;l3
01/01/2022;AF0056;2;l1
01/01/2022;AF0057;3;l5
01/01/2022;AF0058;1;l1
01/01/2022;AF0059;9;l3
01/01/2022;AF0060;3;l1
01/01/2022;AF0061;1;l5
01/01/2022;AF0062;2;l1
01/01/2022;AF0063;1;l5
01/01/2022;AF0064;4;l3
01/01/2022;AF0065;3;l2
01/01/2022;AF0066;3;l5
01/01/2022;AF0067;3;l4
01/01/2022;AF0068;7;l1
01/01/2022;AF0069;2;l2
01/01/2022;AF0070;2;l2
01/01/2022;AF0071;1;l2
01/01/2022;AF0072;4;l1
01/01/2022;AF0073;4;l4
01/01/2022;AF0074;9;l3
01/01/2022;AF0075;2;l2
01/01/2022;AF0076;6;l4
01/01/2022;AF0077;4;l4
01/01/2022;AF0078;7;l1
01/01/2022;AF0079;2;l4
01/01/2022;AF0080;7;l5
01/01/2022;AF0081;4;l2
01/01/2022;AF0082;3;l4
01/01/2022;AF0083;6;l3
01/01/2022;AF0084;9;l5
01/01/2022;AF0085;7;l3
01/01/2022;AF0086;9;l5
01/01/2022;AF0087;6;l1
01/01/2022;AF0088;1;l1
01/01/2022;AF0089;1;l1
01/01/2022;AF0090;9;l1
01/01/2022;AF0091;2;l3
01/01/2022;AF0092;3;l4
01/01/2022;AF0093;9;l2
01/01/2022;AF0094;4;l3
01/01/2022;AF0095;2;l1
01/01/2022;AF0096;4;l1
01/01/2022;AF0097;3;l2
01/01/2022;AF0098;9;l2
01/01/2022;AF0099;6;l5
01/01/2022;AF0100;2;l3
01/01/2022;AF0101;7;l4
01/01/2022;AF0102;4;l1
01/01/2022;AF0103;4;l5
01/01/2022;AF0104;7;l4
01/01/2022;AF0105;9;l1
01/01/2022;AF0106;5;l5
01/01/2022;AF0107;7;l2
01/01/2022;AF0108;2;l1
01/01/2022;AF0109;4;l4
01/01/2022;AF0110;7;l3
01/01/2022;AF0111;9;l4
01/01/2022;AF0112;2;l5
01/01/2022;AF0113;2;l4
01/01/2022;AF0114;2;l3
